Tweet_ID,Tweet,Sentiment
1,"RT @user Dear @user please cancel Sizzling Chicken and Spinach immediately. I don’t like it personally, and I’m the cente…",0
2,"Honestly, fuck a cauliflower pizza crust.",0
3,"@user I’m going all out this year lol. Bought butter on sale, a giant bag of garlic, glass storage containers from dollar store... and I really hope those I love appreciate the homemade garlic butter coming their way! If you bake.... joy of cooking brownies/ lemon bars are great gift",1
4,@user @user Yes and at the same time I’m a frail antifa soyboy suck who is a coward and eats organic kale and believes in genders,0
5,I need answers. A FUCKING SAP NO YAMS @user,0
6,@user WooliesChristmas For my Christmas list some roasted chicken🍗🐔 is definitely a must have have Woolies creamy Spinach. That dish is definitely a to die for meal🍴🕯️,1
7,"RT @user Spotlight on piano. We are very lucky to welcome back 2 wonderful experienced adjudicators, Ruth Gerald and Helen Lee…",1
8,"Cooking duck breast for the first time today. Have in mind a plum and cherry sauce, with parsnip crisp and parsnip pureé (own recipe). Wish me luck!",1
9,The perfect side to go with my noodles-with-veggies lunch today: homemade avocado yogurt dip with plant chips. mycooking myrecipe lunch eatingonabudget vegetarianrecipes groceryoutlet,1
10,"RT @user Now that everyone has settled down, we can put blankets on Dan and the redheads and tuck them in. We're happy to see that Ale…",1
11,@user Hell nawww! Corn tastes really bad especially with butter. Corn and butter tastes awful dude. Hbu dude?,0
12,Do you love French onion soup? Treat your family throughout the holidays with this recipe from the Ship Lantern Inn. RecipeOfTheDay frenchonionsoup soupoftheday @user,1
13,“I shared cooking skills one evening with our young person in how to cook butternut squash curry.” By sharing essential life skills with young people we can help them progress towards eventual independence. This is our goal and you can help! 👇📝,1
14,@user I LOVE IT COOKED PLEASE MY MOM ALWAYS MAKES NILAGANG WHICH IS A FILIPINO DISH AND PLEASW THE CABBAGE IS EVERYTHINGOSJ,1
15,"14 best tweets of the week, including Tom Cruise, gabagool, and a darts man with his eggplant",1
16,I have on the sweater I had on last night when I made dinner and bitch I smell like garlic 🥴 grosssss,0
17,Cancel this potato!,0
18,@user Glucose is blood sugar present in all living organisms. Dextrose is corn sugar made from cornstarch. Blood sugar and corn sugar are not “one and the same.” Corn sugar (dextrose/D-glucose) can prove fatal to anyone w/an allergy to corn.,0
19,This latte is awesome!,1
20,@user @user She even made them to fit that pumpkin!! Good kiddo!!,1
21,Lookin like a cabbage patch kid headass,0
22,"As a teeny asian used to my asian cordial niceties, when i see middle-aged white people get mad yelling like this its differENT scary. How they switch up from super nice to tomato red fury i am not used to... i just i feel smol",0
23,RT @user Research uncovered even more benefits of this favorite food—and it all comes back to the microbiome. 🥑,1
24,@user It would be really nice if you guys let our potato phones enable medium graphic settings.. ☹️,1
25,IT WAS! OBAMA WANTED HIS CHILDREN OF THE CORN ARMY THTS WHY THEY PUSHED OBAMACARE ON US! THEY NEVER INTENDED ON HELPING ANY POOR PPL THEY JUST WANTED TO KILL THEM! WHY ARE PPL STILL DEFENDING &amp; PROTECTING THESE MONSTERS?!,0
26,Excited to share this item from my etsy shop: Large Vintage Pattern Glass Celery Vase with Etched Grapes 9.5 in.,1
27,@user In My country we can all sorts of dishes with lentils except soup. Only when I came here I discovered lentil soup and it’s 👌🏼👌🏼👌🏼,1
28,NOOWWW don’t tell me you a 4for4 type of girl . Girl you better grow out of that . We want a fat ass not a tight bavk ! that number three is a triple with mayo lettece tomato and onion ketchup and mustard (I don’t like pickles ),0
29,*hands you a fresh and delicious radish* *hands you a fresh and delicious radish* *hands you a fresh and delicious radish* *hands you a fresh and delicious radish* *hands you a fresh and delicious radish* *hands you a fresh and delicious radish* *hands you a fresh and delicious r,1
30,Is making the world a better place good for business Learn how UK NotesToStrangers street artist @user inspires commuters while growing social following with user-generated Instagram content. BeInspired. @user,1
